name;alpha-2;alpha-3;country-code;iso_3166-2;region;sub-region;intermediate-region;region-code;sub-region-code;intermediate-region-code;
Afghanistan;AF;AFG;4;ISO 3166-2:AF;Asia;Southern Asia;;142;34;;
Åland Islands;AX;ALA;248;ISO 3166-2:AX;Europe;Northern Europe;;150;154;;
Albania;AL;ALB;8;ISO 3166-2:AL;Europe;Southern Europe;;150;39;;
Algeria;DZ;DZA;12;ISO 3166-2:DZ;Africa;Northern Africa;;2;15;;
American Samoa;AS;ASM;16;ISO 3166-2:AS;Oceania;Polynesia;;9;61;;
Andorra;AD;AND;20;ISO 3166-2:AD;Europe;Southern Europe;;150;39;;
Angola;AO;AGO;24;ISO 3166-2:AO;Africa;Sub-Saharan Africa;Middle Africa;2;202;17;
Anguilla;AI;AIA;660;ISO 3166-2:AI;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Antarctica;AQ;ATA;10;ISO 3166-2:AQ;;;;;;;
Antigua and Barbuda;AG;ATG;28;ISO 3166-2:AG;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Argentina;AR;ARG;32;ISO 3166-2:AR;Americas;Latin America and the Caribbean;South America;19;419;5;
Armenia;AM;ARM;51;ISO 3166-2:AM;Asia;Western Asia;;142;145;;
Aruba;AW;ABW;533;ISO 3166-2:AW;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Australia;AU;AUS;36;ISO 3166-2:AU;Oceania;Australia and New Zealand;;9;53;;
Austria;AT;AUT;40;ISO 3166-2:AT;Europe;Western Europe;;150;155;;
Azerbaijan;AZ;AZE;31;ISO 3166-2:AZ;Asia;Western Asia;;142;145;;
Bahamas;BS;BHS;44;ISO 3166-2:BS;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Bahrain;BH;BHR;48;ISO 3166-2:BH;Asia;Western Asia;;142;145;;
Bangladesh;BD;BGD;50;ISO 3166-2:BD;Asia;Southern Asia;;142;34;;
Barbados;BB;BRB;52;ISO 3166-2:BB;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Belarus;BY;BLR;112;ISO 3166-2:BY;Europe;Eastern Europe;;150;151;;
Belgium;BE;BEL;56;ISO 3166-2:BE;Europe;Western Europe;;150;155;;
Belize;BZ;BLZ;84;ISO 3166-2:BZ;Americas;Latin America and the Caribbean;Central America;19;419;13;
Benin;BJ;BEN;204;ISO 3166-2:BJ;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Bermuda;BM;BMU;60;ISO 3166-2:BM;Americas;Northern America;;19;21;;
Bhutan;BT;BTN;64;ISO 3166-2:BT;Asia;Southern Asia;;142;34;;
Bolivia; Plurinational State of;BO;BOL;68;ISO 3166-2:BO;Americas;Latin America and the Caribbean;South America;19;419;5
Bonaire; Sint Eustatius and Saba;BQ;BES;535;ISO 3166-2:BQ;Americas;Latin America and the Caribbean;Caribbean;19;419;29
Bosnia and Herzegovina;BA;BIH;70;ISO 3166-2:BA;Europe;Southern Europe;;150;39;;
Botswana;BW;BWA;72;ISO 3166-2:BW;Africa;Sub-Saharan Africa;Southern Africa;2;202;18;
Bouvet Island;BV;BVT;74;ISO 3166-2:BV;Americas;Latin America and the Caribbean;South America;19;419;5;
Brazil;BR;BRA;76;ISO 3166-2:BR;Americas;Latin America and the Caribbean;South America;19;419;5;
British Indian Ocean Territory;IO;IOT;86;ISO 3166-2:IO;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14;
Brunei Darussalam;BN;BRN;96;ISO 3166-2:BN;Asia;South-eastern Asia;;142;35;;
Bulgaria;BG;BGR;100;ISO 3166-2:BG;Europe;Eastern Europe;;150;151;;
Burkina Faso;BF;BFA;854;ISO 3166-2:BF;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Burundi;BI;BDI;108;ISO 3166-2:BI;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14;
Cabo Verde;CV;CPV;132;ISO 3166-2:CV;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Cambodia;KH;KHM;116;ISO 3166-2:KH;Asia;South-eastern Asia;;142;35;;
Cameroon;CM;CMR;120;ISO 3166-2:CM;Africa;Sub-Saharan Africa;Middle Africa;2;202;17;
Canada;CA;CAN;124;ISO 3166-2:CA;Americas;Northern America;;19;21;;
Cayman Islands;KY;CYM;136;ISO 3166-2:KY;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Central African Republic;CF;CAF;140;ISO 3166-2:CF;Africa;Sub-Saharan Africa;Middle Africa;2;202;17;
Chad;TD;TCD;148;ISO 3166-2:TD;Africa;Sub-Saharan Africa;Middle Africa;2;202;17;
Chile;CL;CHL;152;ISO 3166-2:CL;Americas;Latin America and the Caribbean;South America;19;419;5;
China;CN;CHN;156;ISO 3166-2:CN;Asia;Eastern Asia;;142;30;;
Christmas Island;CX;CXR;162;ISO 3166-2:CX;Oceania;Australia and New Zealand;;9;53;;
Cocos (Keeling) Islands;CC;CCK;166;ISO 3166-2:CC;Oceania;Australia and New Zealand;;9;53;;
Colombia;CO;COL;170;ISO 3166-2:CO;Americas;Latin America and the Caribbean;South America;19;419;5;
Comoros;KM;COM;174;ISO 3166-2:KM;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14;
Congo;CG;COG;178;ISO 3166-2:CG;Africa;Sub-Saharan Africa;Middle Africa;2;202;17;
Congo; Democratic Republic of the;CD;COD;180;ISO 3166-2:CD;Africa;Sub-Saharan Africa;Middle Africa;2;202;17
Cook Islands;CK;COK;184;ISO 3166-2:CK;Oceania;Polynesia;;9;61;;
Costa Rica;CR;CRI;188;ISO 3166-2:CR;Americas;Latin America and the Caribbean;Central America;19;419;13;
Côte d'Ivoire;CI;CIV;384;ISO 3166-2:CI;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Croatia;HR;HRV;191;ISO 3166-2:HR;Europe;Southern Europe;;150;39;;
Cuba;CU;CUB;192;ISO 3166-2:CU;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Curaçao;CW;CUW;531;ISO 3166-2:CW;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Cyprus;CY;CYP;196;ISO 3166-2:CY;Asia;Western Asia;;142;145;;
Czechia;CZ;CZE;203;ISO 3166-2:CZ;Europe;Eastern Europe;;150;151;;
Denmark;DK;DNK;208;ISO 3166-2:DK;Europe;Northern Europe;;150;154;;
Djibouti;DJ;DJI;262;ISO 3166-2:DJ;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14;
Dominica;DM;DMA;212;ISO 3166-2:DM;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Dominican Republic;DO;DOM;214;ISO 3166-2:DO;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Ecuador;EC;ECU;218;ISO 3166-2:EC;Americas;Latin America and the Caribbean;South America;19;419;5;
Egypt;EG;EGY;818;ISO 3166-2:EG;Africa;Northern Africa;;2;15;;
El Salvador;SV;SLV;222;ISO 3166-2:SV;Americas;Latin America and the Caribbean;Central America;19;419;13;
Equatorial Guinea;GQ;GNQ;226;ISO 3166-2:GQ;Africa;Sub-Saharan Africa;Middle Africa;2;202;17;
Eritrea;ER;ERI;232;ISO 3166-2:ER;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14;
Estonia;EE;EST;233;ISO 3166-2:EE;Europe;Northern Europe;;150;154;;
Eswatini;SZ;SWZ;748;ISO 3166-2:SZ;Africa;Sub-Saharan Africa;Southern Africa;2;202;18;
Ethiopia;ET;ETH;231;ISO 3166-2:ET;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14;
Falkland Islands (Malvinas);FK;FLK;238;ISO 3166-2:FK;Americas;Latin America and the Caribbean;South America;19;419;5;
Faroe Islands;FO;FRO;234;ISO 3166-2:FO;Europe;Northern Europe;;150;154;;
Fiji;FJ;FJI;242;ISO 3166-2:FJ;Oceania;Melanesia;;9;54;;
Finland;FI;FIN;246;ISO 3166-2:FI;Europe;Northern Europe;;150;154;;
France;FR;FRA;250;ISO 3166-2:FR;Europe;Western Europe;;150;155;;
French Guiana;GF;GUF;254;ISO 3166-2:GF;Americas;Latin America and the Caribbean;South America;19;419;5;
French Polynesia;PF;PYF;258;ISO 3166-2:PF;Oceania;Polynesia;;9;61;;
French Southern Territories;TF;ATF;260;ISO 3166-2:TF;Africa;Sub-Saharan Africa;Eastern Africa;2;202;14;
Gabon;GA;GAB;266;ISO 3166-2:GA;Africa;Sub-Saharan Africa;Middle Africa;2;202;17;
Gambia;GM;GMB;270;ISO 3166-2:GM;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Georgia;GE;GEO;268;ISO 3166-2:GE;Asia;Western Asia;;142;145;;
Germany;DE;DEU;276;ISO 3166-2:DE;Europe;Western Europe;;150;155;;
Ghana;GH;GHA;288;ISO 3166-2:GH;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Gibraltar;GI;GIB;292;ISO 3166-2:GI;Europe;Southern Europe;;150;39;;
Greece;GR;GRC;300;ISO 3166-2:GR;Europe;Southern Europe;;150;39;;
Greenland;GL;GRL;304;ISO 3166-2:GL;Americas;Northern America;;19;21;;
Grenada;GD;GRD;308;ISO 3166-2:GD;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Guadeloupe;GP;GLP;312;ISO 3166-2:GP;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Guam;GU;GUM;316;ISO 3166-2:GU;Oceania;Micronesia;;9;57;;
Guatemala;GT;GTM;320;ISO 3166-2:GT;Americas;Latin America and the Caribbean;Central America;19;419;13;
Guernsey;GG;GGY;831;ISO 3166-2:GG;Europe;Northern Europe;;150;154;;
Guinea;GN;GIN;324;ISO 3166-2:GN;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Guinea-Bissau;GW;GNB;624;ISO 3166-2:GW;Africa;Sub-Saharan Africa;Western Africa;2;202;11;
Guyana;GY;GUY;328;ISO 3166-2:GY;Americas;Latin America and the Caribbean;South America;19;419;5;
Haiti;HT;HTI;332;ISO 3166-2:HT;Americas;Latin America and the Caribbean;Caribbean;19;419;29;
Heard Island and McDonald Islands;HM;HMD;334;ISO 3166-2:HM;Oceania;Australia and New Zealand;;9;53;;
Holy See;VA;VAT;336;ISO 3166-2:VA;Europe;Southern Europe;;150;39;;
;;;;;;;;;;13;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;34;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;29;
